temp,soc,voc
273.15,0.0,3.5609
273.15,0.05,3.58206931888115
273.15,0.1,3.60048376317042
273.15,0.15,3.61889820745968
273.15,0.2,3.63333000560421
273.15,0.25,3.64685935585528
273.15,0.3,3.66099802687371
273.15,0.35,3.67605719038869
273.15,0.4,3.69111635390368
273.15,0.45,3.71290959387467
273.15,0.5,3.734832108134
273.15,0.55,3.76335214912627
273.15,0.6,3.79698156702656
273.15,0.65,3.83194014755293
273.15,0.7,3.87467139860387
273.15,0.75,3.9174026496548
273.15,0.8,3.95878124132397
273.15,0.85,3.99965596857549
273.15,0.9,4.04279947366961
273.15,0.95,4.09095861622495
273.15,1.0,4.13911775878029
283.15,0.0,3.5089
283.15,0.05,3.53635646140828
283.15,0.1,3.56524303495793
283.15,0.15,3.59162716511451
283.15,0.2,3.61241853325103
283.15,0.25,3.6323395349612
283.15,0.3,3.64669078072751
283.15,0.35,3.66104202649383
283.15,0.4,3.6769842118448
283.15,0.45,3.69299075481312
283.15,0.5,3.7157671499665
283.15,0.55,3.74037569090053
283.15,0.6,3.77350016426334
283.15,0.65,3.81200166799876
283.15,0.7,3.85431933615553
283.15,0.75,3.90151317710634
283.15,0.8,3.94790232477151
283.15,0.85,3.99205974514922
283.15,0.9,4.03698404758684
283.15,0.95,4.08957117624332
283.15,1.0,4.1421583048998
293.15,0.0,3.4642
293.15,0.05,3.50066702789707
293.15,0.1,3.53494897815592
293.15,0.15,3.56510898252161
293.15,0.2,3.59331470182294
293.15,0.25,3.61667561341815
293.15,0.3,3.63806205584377
293.15,0.35,3.65277962751219
293.15,0.4,3.66782635750825
293.15,0.45,3.68448386705385
293.15,0.5,3.70214566116145
293.15,0.55,3.7278881561918
293.15,0.6,3.75448648951934
293.15,0.65,3.79678584989904
293.15,0.7,3.83908521027874
293.15,0.75,3.88755653595633
293.15,0.8,3.93607413747301
293.15,0.85,3.98259785444942
293.15,0.9,4.02897955883005
293.15,0.95,4.08245425955629
293.15,1.0,4.13694678775337
303.15,0.0,3.3943
303.15,0.05,3.4588955110507
303.15,0.1,3.52349102210141
303.15,0.15,3.55430765309225
303.15,0.2,3.58464216873007
303.15,0.25,3.60976757058169
303.15,0.3,3.63474137666228
303.15,0.35,3.65106386382353
303.15,0.4,3.66700339392321
303.15,0.45,3.68387927584344
303.15,0.5,3.7008109673078
303.15,0.55,3.72623816858814
303.15,0.6,3.75230703015307
303.15,0.65,3.79660724976951
303.15,0.7,3.84258199609884
303.15,0.75,3.88945006355396
303.15,0.8,3.9364154861821
303.15,0.85,3.98373276342465
303.15,0.9,4.03109465055277
303.15,0.95,4.08491559962053
303.15,1.0,4.13967446385779
313.15,0.0,3.1774
313.15,0.05,3.41460341378831
313.15,0.1,3.48107523711163
313.15,0.15,3.53528603982891
313.15,0.2,3.56592851290197
313.15,0.25,3.5945286474712
313.15,0.3,3.61998659769427
313.15,0.35,3.64256360364513
313.15,0.4,3.66155651564793
313.15,0.45,3.67980770788513
313.15,0.5,3.69730979750593
313.15,0.55,3.719887194256
313.15,0.6,3.74663080732151
313.15,0.65,3.78605238867474
313.15,0.7,3.83388881069882
313.15,0.75,3.88169339893609
313.15,0.8,3.92948105224565
313.15,0.85,3.97791891224063
313.15,0.9,4.02662943594719
313.15,0.95,4.0808548590489
313.15,1.0,4.13685729187402
