temp,soc,r0
273.15,0.0,0.214289286535903
273.15,0.05,0.175211110569399
273.15,0.1,0.180263185226022
273.15,0.15,0.185315259882646
273.15,0.2,0.187048212450934
273.15,0.25,0.188029068391037
273.15,0.3,0.188737024308723
273.15,0.35,0.189032713918743
273.15,0.4,0.189328403528762
273.15,0.45,0.188204975030391
273.15,0.5,0.187054303674781
273.15,0.55,0.186521643380554
273.15,0.6,0.186467594477194
273.15,0.65,0.186312970804669
273.15,0.7,0.185570206502495
273.15,0.75,0.184827442200321
273.15,0.8,0.186090116915659
273.15,0.85,0.188099815882852
273.15,0.9,0.190109514850045
273.15,0.95,0.192119213817238
273.15,1.0,0.194128912784431
283.15,0.0,0.141265537061729
283.15,0.05,0.129684807080505
283.15,0.1,0.130823087087277
283.15,0.15,0.131853475922717
283.15,0.2,0.132642736568404
283.15,0.25,0.13326817165364
283.15,0.3,0.132845234051873
283.15,0.35,0.132422296450107
283.15,0.4,0.131603125319636
283.15,0.45,0.130767925519021
283.15,0.5,0.130447532762877
283.15,0.55,0.130266463810059
283.15,0.6,0.129409416288074
283.15,0.65,0.128125550290481
283.15,0.7,0.127596006644452
283.15,0.75,0.128030311963649
283.15,0.8,0.128803147818145
283.15,0.85,0.130514860443137
283.15,0.9,0.132226573068129
283.15,0.95,0.133938285693121
283.15,1.0,0.135649998318113
293.15,0.0,0.104741344846886
293.15,0.05,0.102572099547743
293.15,0.1,0.100779275588767
293.15,0.15,0.0996965355050979
293.15,0.2,0.0988901928618374
293.15,0.25,0.0987690585710678
293.15,0.3,0.0987008004878413
293.15,0.35,0.0988111345040343
293.15,0.4,0.0987513682211033
293.15,0.45,0.0978591937619535
293.15,0.5,0.0969940538102015
293.15,0.55,0.0963464396246934
293.15,0.6,0.0957069010423328
293.15,0.65,0.0952155157546992
293.15,0.7,0.0947241304670656
293.15,0.75,0.0958930820851406
293.15,0.8,0.0970744824905569
293.15,0.85,0.0971382761091894
293.15,0.9,0.097122469210513
293.15,0.95,0.0971066623118367
293.15,1.0,0.0970908554131603
303.15,0.0,0.0831056534662381
303.15,0.05,0.0806942921992829
303.15,0.1,0.0782829309323278
303.15,0.15,0.0766866857538455
303.15,0.2,0.0751020744714562
303.15,0.25,0.0749921643011297
303.15,0.3,0.074925170922663
303.15,0.35,0.0744181420139093
303.15,0.4,0.073891634605376
303.15,0.45,0.0736049156389139
303.15,0.5,0.0733324888256248
303.15,0.55,0.0730101973986932
303.15,0.6,0.072684139730197
303.15,0.65,0.0721325078765209
303.15,0.7,0.0715601573249973
303.15,0.75,0.0715538875549442
303.15,0.8,0.0716093099254033
303.15,0.85,0.0714853566868042
303.15,0.9,0.0713386613124955
303.15,0.95,0.0711919659381869
303.15,1.0,0.0710452705638782
313.15,0.0,0.0722007934482985
313.15,0.05,0.0662421143698847
313.15,0.1,0.0640708686388647
313.15,0.15,0.0622801353615865
313.15,0.2,0.061220829200507
313.15,0.25,0.0605265463699192
313.15,0.3,0.0603938602545241
313.15,0.35,0.0602135835118434
313.15,0.4,0.0599741007370002
313.15,0.45,0.0595541355092062
313.15,0.5,0.0589518913615428
313.15,0.55,0.0585563249520005
313.15,0.6,0.058330416090793
313.15,0.65,0.0581294276580759
313.15,0.7,0.0579449798437322
313.15,0.75,0.0579257614354568
313.15,0.8,0.0579944417136917
313.15,0.85,0.0578789264472626
313.15,0.9,0.057686168910042
313.15,0.95,0.0574934113728214
313.15,1.0,0.0573006538356008
